Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Monster Hunter Tri,Wii,2009,Role-Playing,84.0,8.6,T
Star Wars: The Force Unleashed,PS3,2008,Action,71.0,6.6,T
Guitar Hero II,X360,2007,Misc,92.0,8.1,T
Rock Band 2,X360,2008,Misc,92.0,8.3,T
Need for Speed: Hot Pursuit,X360,2010,Racing,88.0,7,E10+
LEGO Indiana Jones: The Original Adventures,DS,2008,Action,80.0,7.9,E
BioShock 2,X360,2010,Shooter,88.0,8.2,M
Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,94.0,9.2,T
Saints Row,X360,2006,Action,81.0,7.5,M
ATV Offroad Fury 2,PS2,2002,Racing,82.0,8.9,E
Final Fantasy XIII,X360,2010,Role-Playing,82.0,6.3,T
The Sims: House Party,PC,2001,Simulation,74.0,7.9,T
Scribblenauts,DS,2009,Puzzle,79.0,7.6,E10+
Sonic Unleashed,Wii,2008,Platform,66.0,7.3,E10+
Pokemon Ranger,DS,2006,Role-Playing,69.0,7.6,E
Call of Duty: Roads to Victory,PSP,2007,Shooter,64.0,7.5,T
Dance Dance Revolution Extreme,PS2,2004,Simulation,77.0,9,E
Final Fantasy Tactics Advance,GBA,2003,Role-Playing,87.0,7.8,E
Your Shape featuring Jenny McCarthy,Wii,2009,Sports,62.0,5.2,E
Project Gotham Racing,XB,2001,Racing,85.0,8.2,E
Need for Speed: Hot Pursuit 2,PS2,2002,Racing,89.0,8.5,E
Dynasty Warriors 4,PS2,2003,Action,78.0,9.3,T
Parasite Eve,PS,1998,Role-Playing,81.0,8.9,M
Tetris DS,DS,2006,Puzzle,84.0,8.7,E
Borderlands,PS3,2009,Shooter,83.0,7.9,M
Devil May Cry 3: Dante's Awakening,PS2,2005,Action,84.0,9,M
NBA 2K11,X360,2010,Action,89.0,8.1,E
Dead Rising,X360,2006,Action,85.0,7.6,M
World of Warcraft: Cataclysm,PC,2010,Role-Playing,90.0,5.6,T
Tetris Worlds,PS2,2002,Puzzle,44.0,6.2,E
Final Fantasy III,DS,2006,Role-Playing,77.0,7.1,E10+
Mario Party 5,GC,2003,Misc,69.0,8.2,E
Mario Sports Mix,Wii,2010,Sports,64.0,7.1,E
Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,72.0,7.8,E10+
The Sims 2: Pets,DS,2006,Simulation,49.0,5.2,E
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,73.0,7.1,E10+
UFC 2009 Undisputed,X360,2009,Fighting,83.0,7.9,T
Metal Gear Solid: Peace Walker,PSP,2010,Action,89.0,8.9,T
Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,82.0,8.6,E10+
SoulCalibur II,PS2,2003,Fighting,92.0,8.8,T
Need for Speed: ProStreet,X360,2007,Racing,72.0,7.1,E10+
Sonic Mega Collection,GC,2002,Misc,75.0,8.8,E
Need For Speed: Undercover,PS3,2008,Racing,59.0,5.9,T
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,72.0,9,T
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,82.0,8.2,T
Need for Speed: ProStreet,PS3,2007,Racing,73.0,6,E10+
Donkey Kong Country,GBA,2003,Platform,78.0,8.9,E
Carnival Games,DS,2008,Misc,48.0,3.3,E
NBA Live 2004,PS2,2003,Sports,86.0,7.7,E
Call of Duty 2,X360,2005,Shooter,89.0,8.1,T
Rayman Raving Rabbids: TV Party,Wii,2008,Misc,73.0,7.7,E10+
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,62.0,8.1,E
Dead Space,PS3,2008,Action,88.0,8.8,M
Mortal Kombat vs. DC Universe,PS3,2008,Fighting,76.0,7.1,T
TouchMaster,DS,2007,Puzzle,71.0,5.7,E10+
Tenchu: Stealth Assassins,PS,1997,Action,87.0,8.8,M
Harry Potter and the Chamber of Secrets,GBA,2002,Action,76.0,7.9,E
Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,75.0,7.8,E10+
Skate 3,PS3,2010,Sports,80.0,7.6,T
Spyro: Enter the Dragonfly,PS2,2002,Platform,56.0,4.1,E
Devil May Cry 2,PS2,2003,Action,68.0,6.6,M
Hot Shots Golf: Open Tee,PSP,2004,Sports,81.0,8.7,E10+
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,88.0,8.3,M
Crash Nitro Kart,PS2,2003,Racing,69.0,7.7,E
Grand Theft Auto: San Andreas,XB,2005,Action,93.0,8.6,AO
NBA Street Vol. 2,PS2,2003,Sports,90.0,8.8,E
Def Jam Vendetta,PS2,2003,Fighting,80.0,8.9,T
